pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
CoRoT-24 b,CoRoT-24,2,5.1134,0.056,3.7,5.7,0.9,0,,1070,K1 V,4950,0.86,0.91,0.3,-0.399692452,101.922543,-3.7192892,15.383,1.241185135,0.163092967,1.054071923,0.624868984,N,H,1
CoRoT-24 c,CoRoT-24,2,11.759,0.098,5,28,1.3,0,,850,K1 V,4950,0.86,0.91,0.3,-0.399692452,101.922543,-3.7192892,15.383,2.366431913,0.205160202,1.054071923,0.624868984,N,H,1
EPIC 220674823 b,EPIC 220674823,2,0.571292,0.01326,1.725,8.21,8.77,0,4670,2300,,5532,0.99,0.95,0.11,-0.084311075,13.0800239,10.7947051,12.101,2.181609564,0.086947438,1.515517423,0.898420508,E,H,1
EPIC 220674823 c,EPIC 220674823,2,13.3397,0.1083,2.836,8.9,2.12,0.13,70,805,,5532,0.99,0.95,0.11,-0.084311075,13.0800239,10.7947051,12.101,1.771502992,0.265067959,1.515517423,0.898420508,S,H,1
EPIC 248847494 b,EPIC 248847494,1,3650,4.5,12.442,4131.79,11.82648381,0,0.19,183,,4898,2.7,0.9,-0.23,0.575692501,159.3890808,11.8427484,12.353,18.22317398,0.353757695,3.240132138,1.920796896,J,C,1
GJ 1002 b,GJ 1002,2,10.3465,0.0457,,1.08,,,0.67,231,M5.5 V,3024,0.14,0.12,-0.25,-2.852,1.6764641,-7.5462123,,,,0.062620491,0.037122327,E,W,1
GJ 1002 c,GJ 1002,2,21.202,0.0738,,1.36,,,0.26,182,M5.5 V,3024,0.14,0.12,-0.25,-2.852,1.6764641,-7.5462123,,,,0.062620491,0.037122327,E,C,1
GJ 1151 c,GJ 1151,1,389.7,0.5714,,10.62,,,,,M 4.5V,3280,0.18,0.16,-0.12,-2.48,177.7304866,48.3732334,13.76,,,0.09609847,0.056968554,S,C,1
GJ 3138 b,GJ 3138,3,1.22003,0.0197,,1.78,,0.19,118.1,,M0,3717,0.5,0.68,-0.3,-1.347,32.2977385,-16.3392495,10.8275,,,0.354173833,0.209959338,E,H,1
GJ 3138 c,GJ 3138,3,5.974,0.057,,4.18,,0.11,13.9,,M0,3717,0.5,0.68,-0.3,-1.347,32.2977385,-16.3392495,10.8275,,,0.354173833,0.209959338,E,H,1
GJ 3138 d,GJ 3138,3,257.8,0.698,,10.5,,0.32,0.1,,M0,3717,0.5,0.68,-0.3,-1.347,32.2977385,-16.3392495,10.8275,,,0.354173833,0.209959338,S,C,1
