"","name","semimajor_axis","radius","mass","density","eccentricity","insolation","temprature","escape_vel","ESI","SType","TType","parent"
"1","CoRoT-24 b",0.056,3.7,5.7,0.9,0,NA,1070,1.241185135,0.163092967,"N","H",1
"2","CoRoT-24 c",0.098,5,28,1.3,0,NA,850,2.366431913,0.205160202,"N","H",1
"3","EPIC 220674823 b",0.01326,1.725,8.21,8.77,0,4670,2300,2.181609564,0.086947438,"E","H",3
"4","EPIC 220674823 c",0.1083,2.836,8.9,2.12,0.13,70,805,1.771502992,0.265067959,"S","H",3
"5","EPIC 248847494 b",4.5,12.442,4131.79,11.82648381,0,0.19,183,18.22317398,0.353757695,"J","C",5
"6","GJ 1002 b",0.0457,NA,1.08,NA,NA,0.67,231,NA,NA,"E","W",6
"7","GJ 1002 c",0.0738,NA,1.36,NA,NA,0.26,182,NA,NA,"E","C",6
"8","GJ 1151 c",0.5714,NA,10.62,NA,NA,NA,NA,NA,NA,"S","C",8
"9","GJ 3138 b",0.0197,NA,1.78,NA,0.19,118.1,NA,NA,NA,"E","H",9
"10","GJ 3138 c",0.057,NA,4.18,NA,0.11,13.9,NA,NA,NA,"E","H",9
"11","GJ 3138 d",0.698,NA,10.5,NA,0.32,0.1,NA,NA,NA,"S","C",9
"12","GJ 3323 b",0.03282,NA,2.02,NA,0.23,2.58,NA,NA,NA,"E","H",12
"13","GJ 3323 c",0.1264,NA,2.31,NA,0.17,0.17,NA,NA,NA,"E","C",12
"14","GJ 3470 b",0.0355,4.57,13.9,0.8,NA,NA,594,1.744011322,0.278194356,"N","H",14
"15","GJ 411 b",0.07879,NA,2.69,NA,0.063,NA,NA,NA,NA,"E","H",15
"16","GJ 682 b",0.08,NA,4.4,NA,0.08,NA,NA,NA,NA,"E","C",16
"17","GJ 682 c",0.176,NA,8.7,NA,0.1,NA,NA,NA,NA,"S","C",16
"18","Gliese 12 b",0.0668,0.958,3.87,24.26623674,0.5,1.62,315,2.00989203,0.609230723,"R","W",18
"19","HATS-2 b",0.02317,12.576,435.42492,1.20684,NA,NA,1550,5.884172229,0.079956906,"J","H",19
"20","HATS-40 b",0.04997,17.71,505.3497,0.49,0.312,NA,2101,5.341788952,0.043274769,"J","H",20
"21","HATS-41 b",0.0583,14.908,3082.951,5.1,0.38,NA,1710,14.38048784,0.078493827,"J","H",21
"22","HATS-54 b",0.037,11.377,239.32479,0.895967806,0,NA,1429,4.58648486,0.086574737,"J","H",22
"23","HD 10180 c",0.06412,NA,13.22173,NA,0.073,NA,NA,NA,NA,"S","H",23
"24","HD 10180 d",0.12859,NA,12.01397,NA,0.131,NA,NA,NA,NA,"S","H",23
"25","HD 10180 e",0.2699,NA,25.58532,NA,0.051,NA,NA,NA,NA,"N","H",23
"26","HD 10180 f",0.4929,NA,22.94733,NA,0.119,NA,NA,NA,NA,"N","H",23
"27","HD 10180 g",1.427,NA,23.26516,NA,0.263,NA,NA,NA,NA,"N","W",23
"28","HD 10180 h",3.381,NA,65.66368,NA,0.095,NA,NA,NA,NA,"J","C",23
"29","HD 115954 b",5,NA,2634.79749,NA,0.487,0.06,145,NA,NA,"J","C",29
"30","HD 156668 b",0.05,NA,4.15,NA,0,NA,NA,NA,NA,"E","H",30
"31","HD 156668 c",1.57,NA,31.4968,NA,0.089,NA,NA,NA,NA,"N","C",30
"32","HD 192310 b",0.32,NA,16.9,NA,0.13,NA,355,NA,NA,"N","W",32
"33","HD 192310 c",1.18,NA,24,NA,0.32,NA,185,NA,NA,"N","C",32
"34","HD 207496 b",0.0629,2.25,6.1,3.17,0.231,72.9,743,1.646545205,0.32018631,"S","H",34
"35","HD 235088 b",0.071,2.075,4.2,2.58,0,NA,754,1.422707414,0.311281375,"S","H",35
"36","HD 28109 b",0.1357,2.199,18.496,9.589370998,0.3307,NA,881,2.900188951,0.250283585,"S","H",36
"37","HD 28109 c",0.308,4.23,7.943,0.578564061,0.1203,NA,585,1.370320319,0.270601171,"N","H",36
"38","HD 28109 d",0.411,3.25,5.681,0.912352568,0.0864,NA,506,1.32211951,0.357509189,"S","H",36
"39","HD 86226 b",2.73,NA,143.0235,NA,0.059,NA,176,NA,NA,"J","C",39
"40","HD 86226 c",0.049,2.16,7.25,3.97,0.075,NA,1311,1.832070272,0.175771436,"S","H",39
"41","HD 95338 b",0.262,3.89,42.44,3.98,0.197,7.42,385,3.303032804,0.535079229,"N","W",41
"42","HD 95735 c",2.94,NA,13.6,NA,0.132,NA,NA,NA,NA,"S","C",15
"43","K2-18 b",0.1429,2.37,8.92,4.11,0.2,NA,284,1.940029144,0.770220283,"S","W",43
"44","K2-18 c",0.06,NA,7.51,NA,0.47,NA,363,NA,NA,"S","W",43
"45","K2-199 b",0.0382,1.73,6.9,7.2,0.02,116.2,913,1.997107735,0.270046793,"E","H",45
"46","K2-199 c",0.0662,2.85,12.4,2.9,0.03,38.6,694,2.085875642,0.321421039,"S","H",45
"47","K2-222 b",0.1206,2.35,8.7,3.68,0.16,96,871,1.924091385,0.271355771,"S","H",47
"48","K2-280 b",0.1461,7.5,37.1,0.48,0.35,NA,787,2.224110309,0.16925275,"J","H",48
"49","K2-3 b",0.0747,2.078,5.11,3.11,0.107,10.5,501,1.568150275,0.476308104,"S","H",49
"50","K2-3 c",0.1357,1.582,2.68,3.7,0.048,3.17,372,1.301559893,0.665171656,"E","W",49
"51","K2-3 d",0.2014,1.458,2.2,3.913254572,0.091,1.44,305,1.228379552,0.795706379,"E","W",49
"52","KELT-20 b",0.0542,19.515,1074.90106,0.806,NA,4362.5,2262,7.421641427,0.04176259,"J","H",52
"53","KOI-1833 d",NA,2.58,11.02,4.5,NA,NA,613,2.066716679,0.395289361,"S","H",53
"54","KOI-3503 b",NA,1.19,9.2,10,NA,NA,785,2.780484209,0.29828232,"E","H",54
"55","KOI-3503 c",NA,1.21,10.36,10,NA,NA,686,2.926086716,0.340248879,"E","H",54
"56","KOI-3680 b",0.534,11.097,613.4119,2.46,0.496,NA,347,7.434868737,0.419441966,"J","W",56
