"","name","planets_number","spectral_type","effective_temp","radius","mass","luminosity","azi","pol","visual_magnitude","habitable_max","habitable_min"
"1","CoRoT-24",2,"K1 V",4950,0.86,0.91,-0.399692452,101.922543,-3.7192892,15.383,0.624868984,1.054071923
"3","EPIC 220674823",2,"",5532,0.99,0.95,-0.084311075,13.0800239,10.7947051,12.101,0.898420508,1.515517423
"5","EPIC 248847494",1,"",4898,2.7,0.9,0.575692501,159.3890808,11.8427484,12.353,1.920796896,3.240132138
"6","GJ 1002",2,"M5.5 V",3024,0.14,0.12,-2.852,1.6764641,-7.5462123,NA,0.037122327,0.062620491
"8","GJ 1151",1,"M 4.5V",3280,0.18,0.16,-2.48,177.7304866,48.3732334,13.76,0.056968554,0.09609847
"9","GJ 3138",3,"M0",3717,0.5,0.68,-1.347,32.2977385,-16.3392495,10.8275,0.209959338,0.354173833
"12","GJ 3323",2,"M4",3159,0.12,0.16,-2.569,75.4868824,-6.9485133,12.57,0.05142037,0.086739411
"14","GJ 3470",1,"",3600,0.55,0.54,-1.341174768,119.7735021,15.391209,12.332,0.211372172,0.356557099
"15","GJ 411",2,"",3719,0.37,0.39,-1.629001988,165.834471,35.972317,7.49,0.151751922,0.255985565
"16","GJ 682",2,"M3.5 V",3028,NA,0.27,-2.699,264.2610245,-44.3232519,10.94,0.044272617,0.074682091
"18","Gliese 12",1,"M3.0 V",3296,0.26,0.24,-2.138,3.9579137,13.5576175,12.6,0.084456911,0.142467719
"19","HATS-2",1,"",NA,0.88,0.9,NA,176.7388264,-22.5630097,13.565,NA,NA
"20","HATS-40",1,"",6460,2.26,1.56,0.903,100.5712467,-29.77678,13.478,2.79985277,4.722983965
"21","HATS-41",1,"",6424,1.71,1.5,0.653,103.5173558,-27.0504156,12.678,2.099593379,3.541738326
"22","HATS-54",1,"G6 V",5621,1.23,1.05,0.115,200.6348641,-44.6888393,13.937,1.130147672,1.906410719
"23","HD 10180",6,"",5911,1.11,1.06,0.130179645,24.4731133,-60.5114881,7.33,1.150071965,1.940020386
"29","HD 115954",1,"G0 V",5957,1.21,1.18,0.218570991,199.9853694,38.3691383,8.34,1.273270538,2.1478402
"30","HD 156668",2,"",4850,0.72,0.77,0.23,259.4183491,29.228161,8.43,1.290135111,2.17628852
"32","HD 192310",2,"",5166,NA,0.8,-0.415,303.8284712,-27.0337556,5.73,0.613953097,1.035658255
"34","HD 207496",1,"K2.5 V",4819,0.77,0.8,-0.542300994,328.7181708,-77.3388025,8.23,0.530254908,0.894470401
"35","HD 235088",1,"",5087,0.8,0.85,-0.412,300.6154535,53.3774418,9.19,0.616077282,1.039241476
"36","HD 28109",3,"F8/G0 V",6120,1.45,1.26,0.422631543,65.2383065,-68.1026875,9.42,1.610463796,2.716640949
